Source,Target
JudgeDread-BigSeven,GramParsons-CryOneMoreTime
JudgeDread-BigSeven,HankWilliams-MySweetLoveAin'tAround
JudgeDread-BigSeven,TheKing'sSingers-Can'tBuyMeLove
JudgeDread-BigSeven,CharlieRich-LifeHasItsLittleUpsAndDowns
JudgeDread-BigSeven,RosanneCash-TheWheel
JudgeDread-BigSeven,SteveEarle-FearlessHeart
JudgeDread-BigSeven,JohnGorka-WhereTheBottlesBreak
JudgeDread-BigSeven,MerleHaggard-It'sNotLove(ButIt'sNotBad)
JudgeDread-BigSeven,TheHouseOfLove-Ray
JudgeDread-BigSeven,BlindLemonJefferson-RamblerBlues
JudgeDread-BigSeven,MethodMan-PerfectWorld
JudgeDread-BigSeven,NovembersDoom-Awaken
JudgeDread-BigSeven,Nonchalant-5O'Clock
JudgeDread-BigSeven,Ol'DirtyBastard-Gettin'High
JudgeDread-BigSeven,TheDivineComedy-ThereIsALightThatNeverGoesOut
JudgeDread-BigSeven,Everlast-SoLong
JudgeDread-BigSeven,ProdigyOfMobbDeep-Don'tBeAFollower
JudgeDread-BigSeven,RayPrice-HeartachesByTheNumber
JudgeDread-BigSeven,JohnCale-GhostStory
JudgeDread-BigSeven,TheLangleySchoolsMusicProject-GodOnlyKnows
JudgeDread-BigSeven,Hooverphonic-TheLastSupper
JudgeDread-BigSeven,DaynaKurtz-FredAstaire
JudgeDread-BigSeven,UncleTupelo-WhiskeyBottle
JudgeDread-BigSeven,MississippiFredMcDowell-61Highway
JudgeDread-BigSeven,GillianWelch-OneMonkey
JudgeDread-BigSeven,HowardShore-CirithUngol
JudgeDread-BigSeven,JorgeBen-CassiusMarcellusClay
JudgeDread-BigSeven,ShannonNoll-NewBeginning
JudgeDread-BigSeven,BuffySainte-Marie-EyesOfAmber
JudgeDread-BigSeven,NickelCreek-BestOfLuck
JudgeDread-BigSeven,JeffreyFoucault-CrossOfFlowers
JudgeDread-BigSeven,Eminem-Stan
JudgeDread-BigSeven,PorterWagoner-TheRubberRoom
JudgeDread-BigSeven,BenHarper-MoreThanSorry
JudgeDread-BigSeven,ArthurRussell-HomeAwayFromHome
JudgeDread-BigSeven,TheOnlyOnes-SomeoneWhoCares
JudgeDread-BigSeven,RascalFlatts-Holes
JudgeDread-BigSeven,Goldspot-TimeBomb
JudgeDread-BigSeven,AnimalCollective-College
JudgeDread-BigSeven,MobbDeep-TheStartOfYourEnding(41stSide)
JudgeDread-BigSeven,LeAnnRimes-WhatICannotChange
JudgeDread-BigSeven,StephenSondheim-OpeningTitle
JudgeDread-BigSeven,TheEverybodyfields-LonelyAnywhere
JudgeDread-BigSeven,TheEverybodyfields-BeMiner
JudgeDread-BigSeven,JohnBarry-TheDeathOfTimmons
JudgeDread-BigSeven,MississippiSheiks-I'veGotBloodInMyEyesForYou
JudgeDread-BigSeven,Afi-SilverAndCold
JudgeDread-BigSeven,LosLobos-PhoneCall
JudgeDread-BigSeven,StoryOne-ComingUp
JudgeDread-BigSeven,LilyHolbrook-WelcomeToTheSlaughterhouse
JudgeDread-BigSeven,Shinedown-WhatAShame
JudgeDread-BigSeven,Innerpartysystem-WhatWeWillNeverKnow
JudgeDread-BigSeven,ChiddyBang-NothingOnWe
JudgeDread-BigSeven,SageFrancis-TheBestOfTimes
JudgeDread-BigSeven,Leadbelly-WhereDidYouSleepLastNight?
JudgeDread-BigSeven,Jazztronik-Phoenix
JudgeDread-BigSeven,MattElliott-TheDogBeneathTheSkin
JudgeDread-BigSeven,Tyler-TheCreator
JudgeDread-BigSeven,ArcticMonkeys-TheHellcatSpangledShalalala
JudgeDread-BigSeven,ViktorVaughn-Lickupon
JudgeDread-BigSeven,AngeloBadalamenti-MulhollandDrive
JudgeDread-BigSeven,AngeloBadalamenti-Diner
JudgeDread-BigSeven,JunkieXL-EvenInThisMoment
