Source,Target,Type,Id,Label,timeset,Weight
1556,1558,Directed,104941,,,1
1556,1561,Directed,104942,,,1
1556,1566,Directed,104943,,,1
1556,1571,Directed,104944,,,1
1556,1575,Directed,104945,,,1
1556,1576,Directed,104946,,,1
1556,1578,Directed,104947,,,1
1556,1591,Directed,104948,,,1
1556,1593,Directed,104949,,,1
1556,1597,Directed,104950,,,1
1556,1608,Directed,104951,,,1
1556,1620,Directed,104952,,,1
1556,1622,Directed,104953,,,1
1556,1627,Directed,104954,,,1
1556,1634,Directed,104955,,,1
1556,1636,Directed,104956,,,1
1556,1644,Directed,104957,,,1
1556,1645,Directed,104958,,,1
1556,1647,Directed,104959,,,1
1556,1648,Directed,104960,,,1
1556,1657,Directed,104961,,,1
1556,1658,Directed,104962,,,1
1556,1663,Directed,104963,,,1
1556,1670,Directed,104964,,,1
1556,1671,Directed,104965,,,1
1556,1673,Directed,104966,,,1
1556,1674,Directed,104967,,,1
1556,1682,Directed,104968,,,1
1556,1683,Directed,104969,,,1
1556,1685,Directed,104970,,,1
1556,1691,Directed,104971,,,1
1556,1695,Directed,104972,,,1
1556,1702,Directed,104973,,,1
1556,1703,Directed,104974,,,1
1556,1707,Directed,104975,,,1
1556,1709,Directed,104976,,,1
1556,1711,Directed,104977,,,1
1556,1713,Directed,104978,,,1
1556,1714,Directed,104979,,,1
1556,1715,Directed,104980,,,1
1556,1720,Directed,104981,,,1
1556,1724,Directed,104982,,,1
1556,1725,Directed,104983,,,1
1556,1733,Directed,104984,,,1
1556,1734,Directed,104985,,,1
1556,1738,Directed,104986,,,1
1556,1742,Directed,104987,,,1
1556,1743,Directed,104988,,,1
1556,1754,Directed,104989,,,1
1556,1765,Directed,104990,,,1
1556,1772,Directed,104991,,,1
1556,1780,Directed,104992,,,1
1556,1782,Directed,104993,,,1
1556,1789,Directed,104994,,,1
1556,1795,Directed,104995,,,1
1556,1796,Directed,104996,,,1
1556,1804,Directed,104997,,,1
1556,1805,Directed,104998,,,1
1556,1806,Directed,104999,,,1
1556,1814,Directed,105000,,,1
1556,1816,Directed,105001,,,1
1556,1819,Directed,105002,,,1
1556,1820,Directed,105003,,,1
1556,1827,Directed,105004,,,1
1556,1830,Directed,105005,,,1
1556,1834,Directed,105006,,,1
1556,1835,Directed,105007,,,1
1556,1838,Directed,105008,,,1
1556,1842,Directed,105009,,,1
1556,1846,Directed,105010,,,1
1556,1850,Directed,105011,,,1
1556,1862,Directed,105012,,,1
1556,1863,Directed,105013,,,1
1556,1866,Directed,105014,,,1
1556,1881,Directed,105015,,,1
1556,1888,Directed,105016,,,1
1556,1889,Directed,105017,,,1
1556,1891,Directed,105018,,,1
1556,1895,Directed,105019,,,1
1556,1901,Directed,105020,,,1
1556,1905,Directed,105021,,,1
1556,1906,Directed,105022,,,1
1556,1924,Directed,105023,,,1
1556,1934,Directed,105024,,,1
1556,1943,Directed,105025,,,1
1557,1558,Directed,105026,,,1
1557,1573,Directed,105027,,,1
1557,1581,Directed,105028,,,1
1557,1583,Directed,105029,,,1
1557,1594,Directed,105030,,,1
1557,1596,Directed,105031,,,1
1557,1597,Directed,105032,,,1
1557,1600,Directed,105033,,,1
1557,1603,Directed,105034,,,1
1557,1606,Directed,105035,,,1
1557,1608,Directed,105036,,,1
1557,1611,Directed,105037,,,1
1557,1612,Directed,105038,,,1
1557,1617,Directed,105039,,,1
1557,1618,Directed,105040,,,1
1557,1620,Directed,105041,,,1
1557,1641,Directed,105042,,,1
1557,1647,Directed,105043,,,1
1557,1648,Directed,105044,,,1
1557,1650,Directed,105045,,,1
1557,1654,Directed,105046,,,1
1557,1655,Directed,105047,,,1
1557,1658,Directed,105048,,,1
1557,1660,Directed,105049,,,1
1557,1662,Directed,105050,,,1
1557,1672,Directed,105051,,,1
1557,1684,Directed,105052,,,1
1557,1687,Directed,105053,,,1
1557,1688,Directed,105054,,,1
1557,1699,Directed,105055,,,1
1557,1703,Directed,105056,,,1
1557,1704,Directed,105057,,,1
1557,1706,Directed,105058,,,1
1557,1713,Directed,105059,,,1
1557,1728,Directed,105060,,,1
1557,1737,Directed,105061,,,1
1557,1738,Directed,105062,,,1
1557,1741,Directed,105063,,,1
1557,1749,Directed,105064,,,1
1557,1753,Directed,105065,,,1
1557,1756,Directed,105066,,,1
1557,1760,Directed,105067,,,1
1557,1766,Directed,105068,,,1
1557,1771,Directed,105069,,,1
1557,1772,Directed,105070,,,1
1557,1773,Directed,105071,,,1
1557,1781,Directed,105072,,,1
1557,1782,Directed,105073,,,1
1557,1784,Directed,105074,,,1
1557,1787,Directed,105075,,,1
1557,1789,Directed,105076,,,1
1557,1790,Directed,105077,,,1
1557,1791,Directed,105078,,,1
1557,1799,Directed,105079,,,1
1557,1804,Directed,105080,,,1
1557,1805,Directed,105081,,,1
1557,1807,Directed,105082,,,1
1557,1810,Directed,105083,,,1
1557,1820,Directed,105084,,,1
1557,1822,Directed,105085,,,1
1557,1832,Directed,105086,,,1
1557,1833,Directed,105087,,,1
1557,1834,Directed,105088,,,1
1557,1840,Directed,105089,,,1
1557,1842,Directed,105090,,,1
1557,1847,Directed,105091,,,1
1557,1863,Directed,105092,,,1
1557,1866,Directed,105093,,,1
1557,1867,Directed,105094,,,1
1557,1880,Directed,105095,,,1
1557,1892,Directed,105096,,,1
1557,1896,Directed,105097,,,1
1557,1897,Directed,105098,,,1
1557,1900,Directed,105099,,,1
1557,1902,Directed,105100,,,1
1557,1916,Directed,105101,,,1
1557,1923,Directed,105102,,,1
1557,1925,Directed,105103,,,1
1557,1926,Directed,105104,,,1
1557,1928,Directed,105105,,,1
1557,1934,Directed,105106,,,1
1557,1940,Directed,105107,,,1
1557,1942,Directed,105108,,,1
1558,1559,Directed,105109,,,1
1558,1561,Directed,105110,,,1
1558,1562,Directed,105111,,,1
1558,1563,Directed,105112,,,1
1558,1565,Directed,105113,,,1
1558,1568,Directed,105114,,,1
1558,1569,Directed,105115,,,1
1558,1571,Directed,105116,,,1
1558,1592,Directed,105117,,,1
1558,1597,Directed,105118,,,1
1558,1599,Directed,105119,,,1
1558,1603,Directed,105120,,,1
1558,1607,Directed,105121,,,1
1558,1611,Directed,105122,,,1
1558,1615,Directed,105123,,,1
1558,1623,Directed,105124,,,1
1558,1625,Directed,105125,,,1
1558,1638,Directed,105126,,,1
1558,1641,Directed,105127,,,1
1558,1646,Directed,105128,,,1
1558,1653,Directed,105129,,,1
1558,1660,Directed,105130,,,1
1558,1663,Directed,105131,,,1
1558,1669,Directed,105132,,,1
1558,1672,Directed,105133,,,1
1558,1674,Directed,105134,,,1
1558,1676,Directed,105135,,,1
1558,1680,Directed,105136,,,1
1558,1683,Directed,105137,,,1
1558,1691,Directed,105138,,,1
1558,1698,Directed,105139,,,1
1558,1699,Directed,105140,,,1
1558,1704,Directed,105141,,,1
1558,1705,Directed,105142,,,1
1558,1706,Directed,105143,,,1
1558,1710,Directed,105144,,,1
1558,1713,Directed,105145,,,1
1558,1717,Directed,105146,,,1
1558,1727,Directed,105147,,,1
1558,1732,Directed,105148,,,1
1558,1736,Directed,105149,,,1
1558,1738,Directed,105150,,,1
1558,1739,Directed,105151,,,1
1558,1740,Directed,105152,,,1
1558,1744,Directed,105153,,,1
1558,1747,Directed,105154,,,1
1558,1749,Directed,105155,,,1
1558,1750,Directed,105156,,,1
1558,1755,Directed,105157,,,1
1558,1760,Directed,105158,,,1
1558,1763,Directed,105159,,,1
1558,1765,Directed,105160,,,1
1558,1766,Directed,105161,,,1
1558,1770,Directed,105162,,,1
1558,1779,Directed,105163,,,1
1558,1781,Directed,105164,,,1
1558,1782,Directed,105165,,,1
1558,1783,Directed,105166,,,1
1558,1784,Directed,105167,,,1
1558,1785,Directed,105168,,,1
1558,1789,Directed,105169,,,1
1558,1809,Directed,105170,,,1
1558,1817,Directed,105171,,,1
1558,1829,Directed,105172,,,1
1558,1833,Directed,105173,,,1
1558,1834,Directed,105174,,,1
1558,1843,Directed,105175,,,1
1558,1845,Directed,105176,,,1
1558,1849,Directed,105177,,,1
1558,1857,Directed,105178,,,1
1558,1858,Directed,105179,,,1
1558,1875,Directed,105180,,,1
1558,1887,Directed,105181,,,1
1558,1889,Directed,105182,,,1
1558,1898,Directed,105183,,,1
1558,1899,Directed,105184,,,1
1558,1905,Directed,105185,,,1
1558,1911,Directed,105186,,,1
1558,1913,Directed,105187,,,1
1558,1915,Directed,105188,,,1
